,ACCT_NUM,ATA,AID,BPOA,EPOA,A,MAIN,SUB,GWA_TAS_NAME,Agency AID,Agency Name,ADMIN_ORG,Admin Org Name,FR Entity Type,FR Entity Description,Financial Indicator Type2,FIN_IND_TYP2 description,Function Code,Function Description,Sub Function Code,Sub Function Description,DT_TM_ESTAB,DT_END
10,17, ,000, , ,X,0132,000,"Official Mail Costs, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,11/15/1990,
11,18, ,000, , ,X,0140,000,"Contingent Expenses, Stationery, Revolving Fund, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
12,19, ,000, , ,X,0165,000,"Contingent Expenses, Automobiles and Maintenance, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
13,20, ,000, , ,X,0171,000,"Salaries and Expenses, Office of Senate Legal Counsel, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
14,11797, ,000, , ,X,0174,000,"Capitol Guide Service and Special Services Office, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/15/2001,
15,21, ,000, , ,X,0177,000,"Contingent Expenses, Senate, Salaries, Capitol Police",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,09/15/2001,
16,22, ,000, , ,X,0182,000,"Salaries and Contingent Expenses, Senate Policy Committees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
17,23, ,000, , ,X,0184,000,"Settlements and Awards Reserve, Contingent Expenses, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/15/1995,
18,24, ,000, , ,X,0185,000,"Salaries and Expenses, Office of the Legislative Counsel of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
19,25, ,000, , ,X,0188,001,"Congressional Use of Foreign Currency, Senate",000,Congress,05,State,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
20,60362, ,000, , ,X,0190,000,"Office of Congressional Accessibility Services, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,
21,26, ,000, , ,X,0215,000,"Payment to Widows and Heirs of Deceased Members of Congress, House of Representatives",000,Congress,02,House of Representatives - Sergeant at Arms,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
22,27, ,000, , ,X,0400,000,"Salaries and Expenses, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,11/15/1990,
23,5039, ,000, , ,X,0420,000,"Legislative Branch Emergency Response Fund, House of Representative",000,Congress,06,U.S. Capitol Police Board,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/15/2001,
24,28, ,000, , ,X,0425,000,"Contingent Expenses, Office of the Attending Physician, House of Representatives, ",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,09/15/2001,
25,30, ,000, , ,X,0438,000,"Contingent Expenses, House of Representatives, Allowances and Expenses",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
26,31, ,000, , ,X,0440,000,"Contingent Expenses, Stationery, Revolving Fund, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
27,34, ,000, , ,X,0476,000,"General Expenses, Capitol Police, House of Representatives",000,Congress,06,U.S. Capitol Police Board,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/15/1995,
28,35, ,000, , ,X,0477,000,"Contingent Expenses, Salaries, Capitol Police, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,09/15/2001,
29,36, ,000, , ,X,0488,001,"Congressional Use of Foreign Currency, House of Representatives",000,Congress,05,State,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
30,37, ,000, , ,X,4003,000,"Restaurant Fund, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
31,38, ,000, , ,X,4004,000,"Contingent Expenses, House Recording Studio, Revolving Fund, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
32,39, ,000, , ,X,4006,000,"Beauty Shop Revolving Fund, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
33,40, ,000, , ,X,4007,000,"House Barber Shops Revolving Fund, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
34,41, ,000, , ,X,4008,000,"Office of the Attending Physician Revolving Fund, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
35,42, ,000, , ,X,4011,000,"Contingent Expenses, Page Residence Hall and Meal Plan, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
36,43, ,000, , ,X,4021,000,"Contingent Expenses, Senate Recording and Photographic Studios Revolving Fund, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
37,44, ,000, , ,X,4022,000,"Senate Restaurant Fund, Senate",000,Congress,03,Senate Restaurant Fund,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
38,45, ,000, , ,X,4046,000,"Contingent Expenses, Senate Computer Center Revolving Fund, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
39,46, ,000, , ,X,4047,000,"Contingent Expenses, Senate Barber Shops Revolving Fund, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
40,47, ,000, , ,X,4051,000,"Senate Health Promotion, Revolving Fund, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/15/1989,
41,48, ,000, , ,X,4052,000,"Senate Office of Public Records, Revolving Fund, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/15/1989,
42,49, ,000, , ,X,4062,000,"Senate Gift Shop Revolving Fund, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/15/1992,
43,50, ,000, , ,X,4086,000,"Senate Photographic Studio Revolving Fund, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,04/15/1991,
44,51, ,000, , ,X,4087,000,"Senate Recording Studio Revolving Fund, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,04/15/1991,
45,52, ,000, , ,X,4091,000,"Legislative Service Organizations, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/15/1993,
46,53, ,000, , ,X,4101,000,"Daniel Webster Senate Page Resident Revolving Fund, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/15/1994,
47,54, ,000, , ,X,4191,000,Office of Chaplain Expense Revolving Fund,000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/15/1995,
48,26040, ,000, , ,X,4199,000,"House Services Revolving Fund, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,03/15/2005,
49,55, ,000, , ,X,4326,000,"Senate Hair Care Revolving Fund, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/15/1998,
50,50894, ,000, , ,X,4436,000,"House Child Care Center Revolving Fund, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2010,
51,23659, ,000, , ,X,4509,000,"Net Expenses of Equipment Revolving Fund, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/15/2002,
52,26041, ,000, , ,X,4515,000,"Net Expenses of Telecommunications Revolving Fund, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,03/15/2005,
53,24668, ,000, , ,X,5509,000,"Senate Preservation Fund, Library of Congress, Senate",000,Congress,08,Library of Congress - Senate,0912,Senate Preservation Fund, , ,800,General Government,801,Legislative functions,10/15/2003,
54,57, ,000, , ,X,6046,002,"Members Balances with Sergeant at Arms, House of Representatives",000,Congress,02,House of Representatives - Sergeant at Arms,0000,Non - Reporting, , ,000,Governmental Receipts,000,Governmental Receipts,10/01/1987,
55,58, ,000, , ,X,6050,004,"Employees' Payroll Allotment Account, United States Savings Bonds, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,000,Governmental Receipts,000,Governmental Receipts,10/01/1987,
56,59, ,000, , ,X,6275,001,"Withheld State and Local Taxes, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,000,Governmental Receipts,000,Governmental Receipts,10/01/1987,
57,60, ,000, , ,X,6275,004,"Withheld State and Local Taxes, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,000,Governmental Receipts,000,Governmental Receipts,10/01/1987,
58,36834, ,000, , ,X,6276,001,"Other Federal Payroll Withholding, Allotments, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,000,Governmental Receipts,000,Governmental Receipts,10/15/2007,
59,37413, ,000, , ,X,6276,004,"Other Federal Payroll Withholding, Allotments, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,000,Governmental Receipts,000,Governmental Receipts,10/15/2007,
60,35952, ,000,2008,2012, ,0110,000,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/15/2007,12/01/2017
61,35324, ,000,2008,2012, ,0127,000,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2007,12/01/2017
62,38231, ,000,2009,2013, ,0110,000,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2008,
63,38232, ,000,2009,2013, ,0127,000,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2008,
64,42583, ,000,2010,2012, ,0400,000,"Salaries and Expenses, House of Representatives",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2009,12/01/2017
65,42149, ,000,2010,2014, ,0110,000,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2009,
66,42133, ,000,2010,2014, ,0127,000,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2009,
67,45758, ,000,2011,2012, ,0400,000,"Salaries and Expenses, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2010,12/01/2017
68,45759, ,000,2011,2013, ,0400,000,"Salaries and Expenses, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2010,
69,45760, ,000,2011,2015, ,0110,000,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2010,
70,50532, ,000,2011,2015, ,0126,000,"Contingent Expenses, Secretary of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2010,
71,45761, ,000,2011,2015, ,0127,000,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2010,
72,53021, ,000,2012,2012, ,0100,000,"Compensation of Members and Related Administrative Expenses, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,12/01/2017
73,53022, ,000,2012,2012, ,0107,000,"Expense Allowances of the Vice President, the President Pro Tempore, Majority and Minority Leaders, Majority and Minority Whips, and Chairmen of the Majority and Minority Conference Committees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,12/01/2017
74,53023, ,000,2012,2012, ,0108,000,"Representation Allowances for the Majority and Minority Leaders, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,12/01/2017
75,53024, ,000,2012,2012, ,0110,000,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,12/01/2017
76,53025, ,000,2012,2012, ,0123,000,"Contingent Expenses, Miscellaneous Items, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,12/01/2017
77,53026, ,000,2012,2012, ,0126,000,"Contingent Expenses, Secretary of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,12/01/2017
78,53027, ,000,2012,2012, ,0127,000,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,12/01/2017
79,53028, ,000,2012,2012, ,0128,000,"Contingent Expenses of the Senate, Inquiries and Investigations, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,12/01/2017
80,53029, ,000,2012,2012, ,0129,000,"Contingent Expenses, United States Senate Caucus on International Narcotics Control, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,12/01/2017
81,53030, ,000,2012,2012, ,0130,000,"Contingent Expenses, Senator's Official Personnel and Office Expense Account, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,12/01/2017
82,53031, ,000,2012,2012, ,0132,000,"Official Mail Costs, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,12/01/2017
83,53032, ,000,2012,2012, ,0171,000,"Salaries and Expenses, Office of Senate Legal Counsel, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,12/01/2017
84,53033, ,000,2012,2012, ,0172,000,"Expense Allowance for the Secretary of the Senate, Sergeant at Arms and Doorkeeper of the Senate and Secretaries for the Majority and for the Minority of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,12/01/2017
85,53034, ,000,2012,2012, ,0181,000,"Salaries and Contingent Expenses, Joint Economic Committee, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,12/01/2017
86,53035, ,000,2012,2012, ,0185,000,"Salaries and Expenses, Office of the Legislative Counsel of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,12/01/2017
87,53036, ,000,2012,2012, ,0190,000,"Office of Congressional Accessibility Services, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,12/01/2017
88,53373, ,000,2012,2012, ,0200,000,"Compensation of Members and Related Administrative Expenses, House of Representatives",000,Congress,02,House of Representatives - Sergeant at Arms,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,12/01/2017
89,53374, ,000,2012,2012, ,0400,000,"Salaries and Expenses, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,12/01/2017
90,53375, ,000,2012,2012, ,0425,000,"Contingent Expenses, Office of the Attending Physician, House of Represenatatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,12/01/2017
91,53376, ,000,2012,2012, ,0460,000,"Contingent Expenses, Joint Committee on Taxation, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,12/01/2017
92,53377, ,000,2012,2012, ,0499,000,"Statement of Appropriations, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,12/01/2017
93,54538, ,000,2012,2013, ,0186,000,"Joint Congressional Committee on Inaugural Ceremonies of 2013, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,
94,53378, ,000,2012,2013, ,0400,000,"Salaries and Expenses, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,
95,54539, ,000,2012,2014, ,0123,000,"Contingent Expenses, Miscellaneous Items, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,
96,54540, ,000,2012,2014, ,0128,000,"Contingent Expenses of the Senate, Inquiries and Investigations,Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,
97,54541, ,000,2012,2014, ,0130,000,"Contingent Expenses, Senators' Official Personnel and Office Expenses Account, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,
98,53379, ,000,2012,2014, ,0400,000,"Salaries and Expenses, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,
99,53037, ,000,2012,2016, ,0126,000,"Contingent Expenses, Secretary of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,
100,53038, ,000,2012,2016, ,0127,000,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011,
101,56001, ,000,2013,2013, ,0100,000,"Compensation of Members and Related Administrative Expenses, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
102,56002, ,000,2013,2013, ,0107,000,"Expense Allowances of the Vice President, the President Pro Tempore, Majority and Minority Leaders, Majority and Minority Whips, and Chairmen of the Majority and Minority Conference Committees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
103,56003, ,000,2013,2013, ,0108,000,"Representation Allowances for the Majority and Minority Leaders, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
104,56004, ,000,2013,2013, ,0110,000,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
105,56005, ,000,2013,2013, ,0123,000,"Contingent Expenses, Miscellaneous Items, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
106,56006, ,000,2013,2013, ,0126,000,"Contingent Expenses, Secretary of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
107,56007, ,000,2013,2013, ,0127,000,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate                                                                                                                                                                      ",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
108,56008, ,000,2013,2013, ,0128,000,"Contingent Expenses of the Senate, Inquiries and Investigations, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
109,56009, ,000,2013,2013, ,0129,000,"Contingent Expenses, United States Senate Caucus on International Narcotics Control, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
110,56010, ,000,2013,2013, ,0130,000,"Contingent Expenses, Senator's Official Personnel and Office Expense Account, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
111,56011, ,000,2013,2013, ,0132,000,"Official Mail Costs, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
112,56012, ,000,2013,2013, ,0171,000,"Salaries and Expenses, Office of Senate Legal Counsel, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
113,56013, ,000,2013,2013, ,0172,000,"Expense Allowance for the Secretary of the Senate, Sergeant at Arms and Doorkeeper of the Senate and Secretaries for the Majority and for the Minority of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
114,56014, ,000,2013,2013, ,0181,000,"Salaries and Contingent Expenses, Joint Economic Committee, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
115,56015, ,000,2013,2013, ,0185,000,"Salaries and Expenses, Office of the Legislative Counsel of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
116,56016, ,000,2013,2013, ,0190,000,"Office of Congressional Accessibility Services, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
117,56017, ,000,2013,2013, ,0200,000,"Compensation of Members and Related Administrative Expenses, House of Representatives",000,Congress,02,House of Representatives - Sergeant at Arms,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
118,56018, ,000,2013,2013, ,0400,000,"Salaries and Expenses, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
119,56019, ,000,2013,2013, ,0425,000,"Contingent Expenses, Office of the Attending Physician, House of Represenatatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
120,56020, ,000,2013,2013, ,0460,000,"Contingent Expenses, Joint Committee on Taxation, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
121,56021, ,000,2013,2013, ,0499,000,"Statement of Appropriations, House of Representatives                                                                                                                                                                                           ",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
122,56022, ,000,2013,2014, ,0186,000,"Joint Congressional Committee on Inaugural Ceremonies of 2013, Senate                                                                                                                                                                           ",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
123,56023, ,000,2013,2014, ,0400,000,"Salaries and Expenses, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
124,56024, ,000,2013,2015, ,0123,000,"Contingent Expenses, Miscellaneous Items, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
125,56025, ,000,2013,2015, ,0128,000,"Contingent Expenses of the Senate, Inquiries and Investigations,Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
126,56026, ,000,2013,2015, ,0130,000,"Contingent Expenses, Senators' Official Personnel and Office Expenses Account, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
127,58818, ,000,2013,2015, ,0185,000,"Salaries and Expenses, Office of the Legislative Counsel of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
128,56027, ,000,2013,2015, ,0400,000,"Salaries and Expenses, House of Representatives",000,Congress,04,Clerk of the House of Representatives,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012,
